instance,lp_raw,lp_mci,mci_count,raw_gap_pct,mci_gap_pct,bound_improvement_pct
cluster_corner_n12_p3,486.04294804727624,487.3947312056898,56,16.978726690677412,16.74782783801331,0.23089885266410093
random_center_n06_p2,246.80871020826973,246.80871020826973,0,21.20125393967406,21.20125393967406,0.0
random_center_n08_p2,249.1891114799063,249.1891114799063,1,43.469792090817386,43.469792090817386,0.0
random_center_n14_p4,188.52078535576896,188.52078535576896,3,47.521968319172416,47.521968319172416,0.0
random_corner_n10_p3,472.1434613393821,472.1434613393821,0,26.75953350144563,26.75953350144563,0.0
